Track ID,Title,Album,Artist,BPM,Comment,Composer,Genre,Grouping,ISRC,Lyrics,ProNumber,Release Date,Year,External ID,Tag category: Mood/feel,Tag category: Lyric themes,Tag category: Tempo,Tag category: Instrument,Tag category: Vocals,Tag category: Genre,Tag category: Type,Internal comment,Client comment,track_formats,Track created,mp3_url,Duration,Writer 1 Name,Writer 1 Percentage,Writer 1 PRO,Writer 1 Publisher,Writer 2 Name,Writer 2 Percentage,Writer 2 PRO,Writer 2 Publisher,Writer 3 Name,Writer 3 Percentage,Writer 3 PRO,Writer 3 Publisher,Writer 4 Name,Writer 4 Percentage,Writer 4 PRO,Writer 4 Publisher
44077375,TIL I'M DYIN' I'M TRYIN' - INSTRO,Busting Out,gputnam,96,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,"Rock, Pop, Indie",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00099,,911311979,,2024,,"Warm, Uplifting, Upbeat, Reflective, Positive, Hopeful, Happy, Fun, Cool, Confident, Bright, Anthemic",,Midtempo,"Synth, Percussion, Electric guitar, Drums, Bass, Acoustic guitar",Instrumental,"Rock, Pop, Indie, Folk","One stop, Mainstream, Easy-clear",,,"wav,mp3",2020-10-16 22:27:27.588153+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/65695d0a-d4bd-4785-a889-22468a738478.mp3?response-content-disposition=attachment%3B%20filename%3D%2244077375.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=%2BWVvmi4QB2Iwj2juDRIv3cLC7iQ%3D&Expires=1767994983,0:03:25,Gregory D Putnam,50,ASCAP,G Putnam Music,Erik William Nelson,50,ASCAP,ERSHKINSONGS,,,,,,,,
44080078,IMAGINE IF - INSTRO,Remembering Forgetting,G Putnam Music,61,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Singer/Songwriter,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-20-00105,,906109598,,2024,,"Warm, Reflective, Light, Hopeful, Emotive, Dreamy, Dramatic, Cool, Atmospheric",,"Slow, Downtempo","Strings, Piano, Electric guitar, Drums, Bass",Instrumental,"World, Vintage, Singer/songwriter, Rock, Indie, Folk","Recognizable, One stop, Mainstream, Easy-clear",,,"wav,mp3",2020-10-17 02:47:28.734273+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/03af10d6-8eab-45da-ac2f-4c0df6d874bb.mp3?response-content-disposition=attachment%3B%20filename%3D%2244080078.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=wfdyO16bOe%2BrqRwIoADQ5kExjeU%3D&Expires=1767994983,0:03:27,Zach Garrett,50,ASCAP,G Putnam Music,Erik William Nelson,50,ASCAP,ERSHKINSONGS,,,,,,,,
44080109,SOMEWHERE INSIDE - INSTRO,Clearly,Cindy Youngren,69,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (100%) ASCAP,"Pop, Indie ",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00018,,911311725,,2008,,"Warm, Uplifting, Romantic, Reflective, Powerful, Positive, Hopeful, Emotive","Survival, Loss, Regret, Strength, Struggle",Slow,"Strings, Piano, Electric guitar, Drums, Bass","Instrumental, Female vocal, Background vocals","Singer/songwriter, Pop, Country, Ambient","One stop, Mainstream, Easy-clear",,,"wav,mp3",2020-10-17 02:52:01.862834+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/330242f0-cd74-4a4e-9a4d-3f922c9baa6c.mp3?response-content-disposition=attachment%3B%20filename%3D%2244080109.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=tWXcElmItKYiRN6mxDZrUoQBmPQ%3D&Expires=1767994983,0:03:59,Zach Garrett,100,ASCAP,G Putnam Music,,,,,,,,,,,,
63893177,MY BABY LEFT ME - INSTRO,Slight Light,G Putnam Music,71,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (100%) ASCAP,"Folk Rock, BGVs-OHs",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00097,Available,914229847,,2019,,"Warm, Uplifting, Reflective, Positive, Moody, Hopeful, Emotive, Atmospheric",,Slow,"Piano, Electric guitar, Drums, Bass, Acoustic guitar",Instrumental,"Rock, Indie, Folk, Country","One stop, Mainstream, Easy-clear",,,"wav,mp3",2021-08-16 19:20:45.719188+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/a4ebb8ae-2879-4874-8da4-0e200fabe52f.mp3?response-content-disposition=attachment%3B%20filename%3D%2263893177.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=kleaVEQKt4Mw4JNqykBy%2BmdxE8k%3D&Expires=1767994983,0:03:46,Gregory D Putnam,100,ASCAP,G Putnam Music,,,,,,,,,,,,
64057105,TIL I'M DYIN' I'M TRYIN',Cowboy Country,Zach Linley,96,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00099,"Vocalist: Zach Linley - Dallas, TX

V1   
The plant closed – moved to Mexico  
So much for investin' -- here at home  
Ain’t no work now in our small town  
Just take a look around – kind’a run-down  

V1a
My girl left after I lost my job  
Went back to live with her mom n’  
Really…I mean…who can blame her (Oh, man)   
Good luck’s been a stranger 

Ch   
Get up every mornin’ -- doin’ my best   
Reminding myself how I’m truly blessed  
Got my health, yeah, n’ I got my pride  
No matter what, I’m gettin’ by…  
Till I’m dyin' I’m tryin' 

V2
Could move away – leave this life I made  
But my great great grand-folks came in 1908  
Family - a few friends – that’s all I got left (except’)  
An empty house full ‘a debt n’ regret 

Ch2
Get up every mornin’ -- doin’ my best   
Reminding myself how I’m truly blessed  
Got my health, yeah, n’ I got my pride  
No matter what, I’m gettin’ by…  
Till I’m dyin’, I’m tryin’ 

Br 
I want things to change   
[Don't wanna explain] Gonna go insane 
Feel tired n’ alone   
What’s left in my soul  
Just enough to keep on a’ [tryin’]

Ch3
Get up every mornin’ -- doin’ my best   
Reminding myself how I’m truly blessed  
Got my health, yeah, n’ I got my pride  
No matter what, I’m gettin’ by…  
Till I’m dying, I’m trying  
Oh, I keep on trying
Til I’m dying, I’m trying
Oh, I keep on trying",911311979,,2024,,"Upbeat, Reflective, Positive, Moody, Hopeful, Gritty, Emotive, Confident, Cinematic, Atmospheric","Work, Survival, Life, Individuality, Hope, Heartbreak, Destiny, Carry on, Can do, Breakup, Believe, Loneliness, Relationship, Struggle, Success",Midtempo,"Synth, Percussion, Electric guitar, Drums, Bass, Acoustic guitar","Male vocal, Background vocals","Rock, Country","Recognizable, One stop, Mainstream, Easy-clear",,,"wav,mp3",2021-08-20 18:26:03.645016+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/8c9fa775-e805-44b4-a574-b73b8fbc45ae.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057105.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=xlRXaV74Y4EVph40DKZB506aDmI%3D&Expires=1767994983,0:03:25,Gregory D Putnam,50,ASCAP,G Putnam Music,Erik William Nelson,50,,,,,,,,,,
64057117,YOU STOP TALKING - East Houston 1988,Vintage,Scott Monti,96,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (1000%) ASCAP,Vintage Rock,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00137,"Holding hands the other day
Chasing words we never say
Seems you won't take the time
My song n' dance ain't worth a dime
Behind you hide those roaming hills
Your distant eyes give me the chills
So I pull you close to me, but
Your eyes fly n’ I can’t see
You stop talking
You won't say what's on your mind
You stop talking
Your eyes say that there's nothin' left to find n’
I start walking…walking away
Will you please give me a hand
Somehow to try to understand
If you would just give me a chance
To explain the circumstance
You aim your every word (like)
You saw those things you heard
There's no way that you can see
They're just stories – baby, it’s not me
You stop talking
You won't say what's on your mind
You stop talking
Your eyes say that there's nothin' left to find n’
I start walking…walking away
By now we've gone too far
To be here the way we are…
When you look into my eyes
Can't you see my words aren't lies
There's no one else quite like you
Who makes me smile the way you that you do
There’s no reason for you to hide 
C’mon girl, let me back inside
You stop talking
You won't say what's on your mind
You stop talking
Your eyes say that there's nothin' left to find n’
I start walking…walking away
You stop talkin'
You won't say what's on your mind
You stop talkin'
Your eyes say that there's nothin' left to find……",911307337,,1988,,"Upbeat, Retro","Searching, Love, Breakup, Connection, Identity, Relationship, Struggle","Uptempo, Midtempo","Synth, Percussion, Electric guitar, Drums, Bass, Acoustic guitar",Male vocal,"Vintage, Rock, Indie","Recognizable, One stop, Easy-clear",,,"wav,mp3",2021-08-20 18:26:40.874621+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/1050761b-8586-4bbf-b697-318add0d1dc3.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057117.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=1l8SVnoIGjWwvUTZ95Jjge5pFBQ%3D&Expires=1767994983,0:03:36,,,,,,,,,,,,,,,,
64057123,CROSSIN' WIRES - Rec'd 1988 - East Houston,VINTAGE,Scott Monti,76,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (100%) ASCAP,Vintage 1988,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00128,"I still stare through your blowing hair
When I go places we used to go n’
I still care though you’re never there 
When I see faces we used to know
My heart’s inside each second
Still craving to be reckoned
Crossin’ wires is never fair
Crossin’ wires like you just don’t care
What am I supposed to do with my broken heart
How’m I gonna keep it from falling apart
‘What am I going to do when the pieces fall
What am I gonna do when my eyes tell all
Every dawn this world feels so strange
I keep thinking I’ll wake up to your smile
Every dusk – see the world has not changed
Memories sweep circles – they won’t reconcile
My heart drags through each minute
Goes so slow when you’re not in it
Crossin’ wires is never fair n’ 
Crossin' wires n' mine are bare
What am I supposed to do with my broken heart
How’m I gonna keep it from falling apart
‘What am I going to do when the pieces fall
What am I gonna do when my eyes tell all
I still stare through the cold night air
My mind goes places – but I don’t know where n’
I still care though you’re not here
Lost in spaces of my despair
My heart trails each dragging hour
Times sweet taste is growing sour
Crossing wires is never fair
Crossing wires like you just don’t care
What am I supposed to do with my broken heart
How’m I gonna keep it from falling apart
‘What am I going to do when the pieces fall
What am I gonna do when my eyes tell all
What am I gonna with this broken heart
When you’re just not there?
What am I gonna with this broken heart
When you just don’t care…
What am I gonna with this broken heart",911307337,,1988,,"Upbeat, Sad, Retro, Reflective, Moody, Emotive, Dramatic, Dark","Searching, Life, Individuality, Heartbreak, Breakup, Longing, Loss, Regret, Struggle","Slow, Midtempo","Piano, Electric guitar, Drums, Bass, Acoustic guitar","Male vocal, Background vocals","Vintage, Rock, Indie","Recognizable, One stop, Mainstream, Easy-clear",,,"wav,mp3",2021-08-20 18:26:57.284418+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/6dd6f1dd-d5ea-4637-aed5-f9d400d4e779.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057123.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=VQ41hk6S9nb2zEK5geZW0P%2BIxKk%3D&Expires=1767994983,0:03:50,Gregory D Putnam,100,ASCAP,G Putnam Music,,,,,,,,,,,,
64057147,FEEL FREE - INSTRO,Desperate n’ Dirty,G Putnam Music,114,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (34%) ASCAP Erik Nelson (33%) ASCAP Patrik Sheridan (33%) ASCAP,"Pop, Country",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00019,,911309907,,2024,,"Warm, Uplifting, Upbeat, Reflective, Positive, Hopeful, Happy, Fun, Emotive, Cool, Confident, Building, Bright, Anthemic",,"Uptempo, Midtempo","Piano, Electric guitar, Drums, Bass, Acoustic guitar",Instrumental,"Singer/songwriter, Rock, Pop, Indie","One stop, Mainstream, Easy-clear",,,"wav,mp3",2021-08-20 18:28:07.493361+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/44d3735d-cd1a-4429-a2b2-28ea9ff102d9.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057147.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=LSJx24W1%2FaObXJ6GX2ImfjCY%2Bsg%3D&Expires=1767994983,0:03:27,Erik William Nelson,50,ASCAP,ERSHKINSONGS,,,,,,,,,,,,
64057224,MISTY MIDNIGHT BLUE,NATU Ought To,NATU Visinia,110,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Pop/Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00138,"It’s all the distance n’ 
Feelin’ what’s missin’ 
When there’s no phone call 
Don’t hear nothin’ at all n’ 
Nobody's list'nin'  
Starin' at the stars   
Wond'rin where you are  
Wherever - it's too far 
Guess who's the fool who's 
Losin' himself -- after losin' you 
I've stared at sunsets 
Felt how cold nights get n'
How slow time always goes 
When ev'ry night I know
The sun's gonna find the moon n'  
This heartache's gonna bring  me you 
You - my misty Midnight Blue 
You - my misty Midnight Blue
Life's never perfect 
You made it worth it 
Until you left me 
On that cold mornin' 
Now nothin' is workin'  
I've stared at sunsets 
Felt how cold nights get n'
How slow time always goes 
When ev'ry night I know
The sun's gonna find the moon n'  
This heartache's gonna bring  me you 
You - my misty Midnight Blue 
You - my misty Midnight Blue
Now, here I am all alone  
Singin' to the night ... n' you 
You...you...you 
You...you...you 
I've stared at sunsets 
Felt how cold nights get n' 
How slow time always goes 
When ev'ry night I know 
The sun's gonna find the moon n'  
This Heartache's gonna bring me you 
You - my misty Midnight Blue 
You - my misty Midnight Blue 
You...you...you ",909618667,,2023,,"Uplifting, Sad, Reflective, Moody, Cinematic, Catchy, Bright, Atmospheric, Anthemic","Survival, Searching, Hope, Heartbreak, Longing, Loss, Time",Uptempo,"Synth, Piano, Electric guitar, Bass, drum machine","Male vocal, Background vocals","Singer/songwriter, Pop","One stop, Mainstream, Easy-clear",,,"wav,mp3",2021-08-20 18:30:06.889072+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/65b1c1d2-d8cd-44f4-b02a-53d0275e74d2.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057224.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=PEYp62mfUANyVTY4aHQczlto%2Bq0%3D&Expires=1767994983,0:03:19,Erik William Nelson,50,ASCAP,ERSHKINSONGS,Gregory D Putnam,50,ASCAP,G Putnam Music,,,,,,,,
64057298,OH SO CASUALLY,The Struggle,Katie Beste,91,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Site: https/::www.gputnammusic.com 
Txt Greg Putnam @ 309-530-4626 
gputnam@gputnammusic.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Mod Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00070,"Ev’ry mornin’ I wake up - thinkin’ ‘bout you
Ev’ry day I do my thing - just gettin’ through
Ev’ry ev’nin’ I go home - hopin' somethin’s new
Ev’ry night watch the same ol’ the sky -- without a clue 
Can’t get you outa’ my heart 
Can’t get you outa’ my dreams 
I’ve searched ev’ry star 
Crawled up ev’ry moonbeam 
Don’t understand this pain 
Sure don’t know what love means 
Since you left me.......oh so casually 
Ev’ry thought turns to memories - about you and I
Ev’ry question finds no end - ‘cept the lonely night
Any answer’s so far away - behind a million whys
Ev’ry reason’s so timeless - inside the word goodbye 
Can’t get you outa’ my heart 
Can’t get you outa’ my dreams 
I’ve searched ev’ry star 
Crawled up ev’ry moonbeam 
Don’t understand this pain 
Sure don’t know what love means 
Since you left me.......oh so casually 
You act like nothin’s wrong
Ignore ev’ry thin’ we done
I come close – you turn away
Like you don’t even know my name
It’s all right (2x) 
It was one – big – lie 
Can’t get you outa’ my heart 
Can’t get you outa’ my dreams 
I’ve searched ev’ry star 
Crawled up ev’ry moonbeam 
Don’t understand this pain 
Sure don’t know what love means 
Since you left me.......oh so casually",911307737,,,,"Upbeat, Reflective, Powerful, Positive, Confident, Bright","Love, Heartbreak, Loneliness, Pain, Regret, Relationship","Uptempo, Midtempo","Organ, Electric guitar, Drums, Bass, Acoustic guitar",Female vocal,"Singer/songwriter, Rock, Pop, Country","One stop, Mainstream, Easy-clear",,,"wav,mp3",2021-08-20 18:31:43.206029+00:00,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/e50fc542-b0cf-4525-9316-ee053b3be6b4.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057298.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=jwXBU5adEwiMJjS8x8yIushbiCc%3D&Expires=1767994983,0:03:22,Patrik J Sheridan,50,ASCAP,G Putnam Music,Gregory D Putnam,50,ASCAP,G Putnam Music,,,,,,,,
